+----------------------------------+--------------+----------------------------------------------------------------------------------------------------------------+---------------------+---------------------+---------------------+-----------+
| token                            | weights_type | title                                                                                                          | created_at          | user_deleted_at     | mod_deleted_at      | use_count |
| weight_7nkrya6jq2gdmhvzvhwe6565a | tt2          | Baldi (Baldi Basics Education And Learning)                                                                    | 2022-10-07 13:37:12 | NULL                | NULL                |     32507 |
| weight_m1y88060fqc37aracfqt560hp | tt2          | TikTok TTS                                                                                                     | 2022-02-13 11:57:17 | NULL                | NULL                |     32358 |
| weight_wzp5nb29078wdnadg2aep4m8k | rvc_v2       | "Android No.21" [JPN - DBFZ]                                                                                   | 2023-10-23 04:25:53 | 2024-02-16 17:56:39 | NULL                |     32335 |
| weight_v868mcxbq3mjh7txxgsbzyjv9 | tt2          | Tails (Sonic The Hedgehog. Colleen O'Shaughnessey)                                                             | 2021-09-01 22:40:51 | NULL                | 2023-02-11 03:06:27 |     32308 |
| weight_9y323x3mx6eggnmk5xb8gws43 | tt2          | Gordo querido en LATAM                                                                                         | 2022-03-07 01:56:31 | NULL                | NULL                |     32285 |
| weight_ex4b9ba2mrb7hvgh13txtc671 | tt2          | Rodolfo de Paoli (Relator de fútbol argentino)                                                                 | 2022-12-27 14:31:28 | NULL                | NULL                |     32262 |
| weight_k26kxqas6fg0qyhfjm84ch721 | tt2          | Batman (Thomas Wayne)                                                                                          | 2021-10-31 03:18:54 | NULL                | NULL                |     32118 |
| weight_400fsvthvhnxqzgzkf0aa66aw | tt2          | Alan Rickman                                                                                                   | 2021-08-28 00:48:54 | NULL                | NULL                |     32035 |
| weight_aqt1sfmky26e8hjtqa7z2q4jg | tt2          | Alberto Chicote V.2. (Castillian Spanish)                                                                      | 2022-07-30 17:08:46 | NULL                | NULL                |     31959 |
| weight_w1qhh5kmsfjr8begj6x6djbv7 | tt2          | Matteo Salvini                                                                                                 | 2022-10-12 12:29:39 | NULL                | 2022-10-20 19:38:42 |     31946 |
| weight_w9a64y4kpjxnx5njmd5q99e9v | tt2          | Forrest Gump                                                                                                   | 2022-10-06 21:01:33 | NULL                | 2024-08-15 22:44:22 |     31877 |
| weight_1kjkhdn0g219bzvr0z1nnjvg0 | tt2          | Jigsaw (1.0)                                                                                                   | 2022-12-17 17:42:36 | NULL                | NULL                |     31753 |
| weight_ftmxgwee8dt449cmrzdfc8m22 | tt2          | Pato Lucas (Daffy Duck Español)                                                                                | 2022-09-01 04:23:37 | NULL                | NULL                |     31592 |
| weight_pvpb58p274vhxxvyj82j56zcv | tt2          | Narrador Dragon Ball Z (Castillian Spanish)                                                                    | 2022-09-25 12:55:48 | NULL                | 2023-06-15 17:13:45 |     31518 |
| weight_hre2qk3qc23m4msayjgp1ttkg | tt2          | Dbz Narrator (Ocean Dub)                                                                                       | 2022-07-05 17:46:42 | NULL                | NULL                |     31082 |
| weight_ne94ec19dyg36yaaawmq3sykq | tt2          | Kylian Mbappé                                                                                                  | 2023-01-25 08:02:39 | NULL                | NULL                |     30995 |
| weight_zfb68bvfkfhph1ck8atx0qy73 | tt2          | Tom Cruise                                                                                                     | 2022-04-03 23:45:40 | NULL                | NULL                |     30901 |
| weight_1xtwypjb1f5qcbexva6a9py6n | tt2          | Guillermo Francella                                                                                            | 2022-09-09 21:07:40 | NULL                | NULL                |     30815 |
| weight_rdvvkz9429e8hkb4a1bkgs1vt | tt2          | fernando niembro (full version)                                                                                | 2022-07-26 15:26:04 | NULL                | NULL                |     30809 |
| weight_4d2z44zcppny04wjvnw0qkmjs | tt2          | Abraham Simpson (Dan Castellaneta)                                                                             | 2021-10-10 13:31:22 | NULL                | NULL                |     30757 |
| weight_f56bz0sp5hjwqjbxgxnhz932y | tt2          | Joe Biden (angry)                                                                                              | 2023-03-14 20:02:25 | NULL                | NULL                |     30675 |
| weight_mkarbeqgv4fd0k8jyxpbea32q | tt2          | Jigsaw (OLD) (Saw franchise) (Voiced by: Tobin Bell)                                                           | 2021-12-24 10:20:01 | NULL                | NULL                |     30610 |
| weight_xtymh89snhrdd5g0kvskt4s7x | tt2          | Doraemon 1993. (Doblaje Barcelona, Doraemon, el Gato Cósmico, Castillian Spanish.) Versión MEJORADA            | 2022-12-01 00:13:25 | NULL                | NULL                |     30552 |
| weight_nv9nswg8tp42ew86c5yjvthqq | tt2          | Breakman                                                                                                       | 2022-05-27 00:15:28 | NULL                | NULL                |     30449 |
| weight_hr8spkw9dc7r9j5qnnabag5s0 | tt2          | Tu Cosmopolis                                                                                                  | 2022-06-10 01:26:30 | NULL                | NULL                |     30427 |
| weight_6ajq52n9xpq52peambfpx2ab7 | tt2          | Scarlett Johansson                                                                                             | 2022-06-04 08:04:18 | NULL                | 2023-11-07 05:06:15 |     30403 |
| weight_hdxtyeydhvjrgd42x9bgg9hca | tt2          | Vegeta (Brian Drummond)                                                                                        | 2022-01-15 00:14:40 | NULL                | 2023-02-13 15:01:12 |     30284 |
| weight_dm1tv13a84dxtst0aaw3nq78j | tt2          | Alex Jones (Version 1.0)                                                                                       | 2022-11-11 18:15:20 | NULL                | NULL                |     30237 |
| weight_gr9daajwm75vdvkzfr80hg45g | tt2          | Lara Croft (Tomb Raider) (Camilla Luddington)                                                                  | 2021-09-25 12:04:17 | NULL                | NULL                |     30196 |
| weight_tk6afm7exm4jfk3df17awkvy8 | tt2          | Dale Gribble                                                                                                   | 2021-09-10 06:33:00 | NULL                | NULL                |     30095 |
| weight_5rkj78t9htecfprs54qd8s35s | tt2          | Arnold Schwarzenegger                                                                                          | 2021-09-12 01:07:28 | NULL                | 2024-08-16 22:58:55 |     29943 |
| weight_jm7reg55vqn4b5v2cdn9d8w4v | tt2          | Son Goku (Abridged)                                                                                            | 2023-07-21 04:45:20 | NULL                | NULL                |     29719 |
| weight_0w8p69km2hwc268ed6mt7dgsn | tt2          | Addison Rae                                                                                                    | 2023-03-18 18:22:33 | NULL                | NULL                |     29697 |
| weight_35ts2r0y8zkxzka82qh2jtr9h | sd_1.5       | Clarity 3 (Best Base Model)                                                                                    | 2024-02-18 22:28:46 | NULL                | NULL                |     29463 |
| weight_xtb73fnmf3gpm5w08jqf33t53 | tt2          | Shadow The Hedgehog (Jason Griffith)                                                                           | 2021-09-11 05:26:57 | NULL                | NULL                |     29420 |
| weight_m3mzzda83ne7na6jtfjsetf71 | tt2          | Star Wars Clone Wars Narrator (Version 1.0)                                                                    | 2021-08-22 13:30:33 | NULL                | NULL                |     29240 |
| weight_bssswsmqhekv65hffwazeq67m | tt2          | Paolo Bonolis (Conduttore Televisivo)                                                                          | 2022-10-26 05:19:45 | NULL                | NULL                |     29234 |
| weight_qt8x4nw5xmr7100qfc7mkynca | tt2          | Mario (N64 Era)                                                                                                | 2022-05-23 16:22:55 | NULL                | NULL                |     29233 |
| weight_bf2ftnjt8t3a8nkv41g9v0pem | tt2          | Caparezza                                                                                                      | 2022-10-14 22:18:54 | NULL                | NULL                |     29211 |
| weight_xk2zyfjxxssp24a7vzz0h9h8m | tt2          | Spy (Team Fortress 2)                                                                                          | 2023-08-04 19:19:24 | NULL                | NULL                |     29180 |
| weight_vkvw3rzq08ryv821b6kv6qy0n | tt2          | Adal Ramones                                                                                                   | 2022-10-23 22:14:59 | NULL                | NULL                |     28809 |
| weight_rw2e7d3bx4f49djpf96ysywn4 | tt2          | Luigi (Charles Martinet) (fixed version)                                                                       | 2021-10-26 15:13:42 | NULL                | NULL                |     28754 |
| weight_z0a912eq28fzs9eyj07y7hv2m | tt2          | Arenita Mejillas (Español Latino)                                                                              | 2022-12-06 23:22:56 | NULL                | NULL                |     28433 |
| weight_xr0yqe0a3myt4hf1gbsm1acm3 | tt2          | John Marston (Robert Allen Wiethoff) (Red Dead Redemption)                                                     | 2021-09-19 01:38:43 | NULL                | NULL                |     28299 |
| weight_14nvz7s0m33tqbzchmjsnq356 | tt2          | Don Cangrejo (Mr. Krabs Latin American Spanish, Beta)                                                          | 2022-05-25 17:23:16 | 2022-10-21 22:05:17 | NULL                |     28269 |
| weight_bzb4czsn45x9pvtmsg53mhcbw | tt2          | Chiquito de la Calzada (Castillian Spanish, ARPABET support)                                                   | 2022-02-11 16:07:51 | 2023-01-20 22:02:20 | NULL                |     28036 |
| weight_w8f5x9hjwbx6vrfa84sxpntyv | tt2          | Joe Biden (New, 46th U.S. President)                                                                           | 2023-09-27 06:37:47 | NULL                | NULL                |     27995 |
| weight_t0dyze5kpykjx4pqabb8cpk2q | tt2          | Adam Driver                                                                                                    | 2022-01-07 22:36:43 | NULL                | NULL                |     27817 |
| weight_qsf0tw5eem3xa2cphmjzzf55c | tt2          | Álex el león (Alex the Lion, Latin American Spanish)                                                           | 2022-06-24 01:08:35 | NULL                | NULL                |     27614 |
| weight_spgtkdrzrw6d780124yn66en4 | tt2          | Diego Armando Maradona V2                                                                                      | 2023-02-07 22:39:12 | NULL                | NULL                |     27561 |
| weight_vbz0wq7wkv80casj3vfptrrpg | sd_1.5       | Aniverse V15 Pruned                                                                                            | 2024-02-29 19:49:52 | NULL                | NULL                |     27472 |
| weight_vcvr8zmz7sa6byzsze7rbqfh6 | rvc_v2       | "Aquamarine" Aqua Hoshino (Oshi No Ko)                                                                         | 2023-12-18 13:26:55 | NULL                | NULL                |     27317 |
| weight_xcgb5zyhewq39gkgq7qcjpw8v | tt2          | Homer Simpson (Dan Castellaneta)                                                                               | 2022-03-02 03:43:43 | NULL                | NULL                |     27285 |
| weight_gt9wb95mfff1q6cz2jkbx9bsb | tt2          | Kendrick Lamar (Rapper)                                                                                        | 2021-09-01 01:28:00 | NULL                | NULL                |     27160 |
| weight_67k480zm1s1nz3qhsmeaa0n9n | tt2          | Tony Stark (Iron Man) (Robert Downey Jr.)                                                                      | 2022-12-12 18:54:17 | 2024-04-16 04:47:54 | NULL                |     27135 |
| weight_8stkk20cff08r949taefkprr6 | tt2          | Eijiro Kirishima (Justin Cook)                                                                                 | 2021-11-16 07:06:51 | NULL                | NULL                |     26986 |
| weight_edzcfmq6y0vj7pte9pzhq5b6j | tt2          | The French Narrator (Tom Kenny)                                                                                | 2022-06-22 20:26:37 | NULL                | NULL                |     26693 |
| weight_nk3cv7gg89651kf1jqk97875t | tt2          | Andrew Tate (Angry)                                                                                            | 2023-06-20 01:11:34 | NULL                | NULL                |     26647 |
| weight_84wnr5rmattxkrxq9dsnbd66d | tt2          | Ash Ketchum (Original 4Kids)                                                                                   | 2022-08-28 11:09:49 | NULL                | NULL                |     26631 |
| weight_3fgh0hvf1s530nc1802j0sj4a | tt2          | Glenn Quagmire (Classic)                                                                                       | 2023-06-14 14:15:12 | NULL                | NULL                |     26149 |
| weight_m92d35n9krss2xq7dr0vcsbn4 | tt2          | Annunciatore Pokemon Stadium (N64)                                                                             | 2022-10-05 21:30:37 | NULL                | NULL                |     26122 |
| weight_j3xy4jj17aztg0amrf9tm96h1 | tt2          | The Narrator (The Stanley Parable) (Kevan Brighting)                                                           | 2021-10-02 05:32:45 | NULL                | NULL                |     25932 |
| weight_g1yy08b5rptn3011n13zsfqr4 | tt2          | Vegeta (Rene Garcia)                                                                                           | 2022-02-21 16:12:24 | NULL                | 2022-03-07 21:43:27 |     25869 |
| weight_hskmf6zg8jew4ak1jz0b4s91a | tt2          | Millie Bobby Brown                                                                                             | 2023-03-30 01:08:03 | NULL                | NULL                |     25832 |
| weight_wq6nfr5x6gee0pc76mx6xt5ts | tt2          | Don Cangrejo [LATAM Spanish - Versión Propia]                                                                  | 2023-10-22 00:53:03 | NULL                | NULL                |     25703 |
| weight_02v0kzdhgva7n5vqj6yk5nx0c | tt2          | Ashe, La Arquera de Hielo                                                                                      | 2023-02-09 15:43:57 | NULL                | NULL                |     25595 |
| weight_zrdzksntrzb7bgj4eaf4f8rec | tt2          | Santa Claus. (Latin American Spanish.)                                                                         | 2022-11-28 21:36:59 | 2023-11-26 19:16:21 | NULL                |     25520 |
| weight_yh6s0abkyb2p5vp8c230w1bsc | tt2          | Burro (Donkey, Latin American Spanish) Versión BETA                                                            | 2022-07-11 00:56:09 | 2023-01-19 22:33:59 | NULL                |     25488 |
| weight_y02f0jpz7ngs3c116jdj2mmf2 | tt2          | Greg Hamilton (trained by justinjohn-03)                                                                       | 2021-09-29 22:12:34 | NULL                | NULL                |     25467 |
| weight_gyks4efd4zbswycwm1mydk75n | tt2          | Dr. Phil McGraw                                                                                                | 2021-09-12 20:05:35 | NULL                | NULL                |     25440 |
| weight_r7fjfyx23hrjx1wcxttcw3vvw | tt2          | MontanaBlack                                                                                                   | 2023-03-19 01:06:27 | NULL                | NULL                |     25410 |
| weight_m25mqr99ctgy2bt6myaw9agb0 | tt2          | Maestro Roshi                                                                                                  | 2022-12-30 05:04:26 | NULL                | NULL                |     25347 |
| weight_s662b5zeze09zrpp1cbzqapc4 | tt2          | Trevor Philips                                                                                                 | 2021-08-30 03:35:48 | NULL                | NULL                |     25324 |
| weight_jmcdwfk7nzmem4a2f5h7bq0y0 | tt2          | Bart Simpson (Nancy Cartwright)                                                                                | 2022-04-02 17:24:27 | NULL                | NULL                |     25227 |
| weight_z5wyb92b2rcp853j802e3gw8n | tt2          | Freddie Mercury (Singing)                                                                                      | 2021-09-19 01:37:01 | NULL                | NULL                |     25081 |
| weight_9dzc4qeg6dvte5krz322xzac2 | tt2          | Chills                                                                                                         | 2021-09-11 04:37:04 | NULL                | NULL                |     24932 |
| weight_rq1330n8sgz9crvh7jxr8ccgf | tt2          | Anakin Skywalker (Old, Clone Wars)                                                                             | 2021-10-22 05:16:35 | NULL                | NULL                |     24839 |
| weight_scszcxcxb06f1p002fp41284e | tt2          | Diego Latorre (Comentarista de fútbol argentino)                                                               | 2022-12-27 14:43:27 | NULL                | NULL                |     24676 |
| weight_d12c6mztpdcejj7g8maqfb4ja | tt2          | Biggie Smalls aka The Notorious B.I.G. (Christopher George Latore Wallace)                                     | 2023-04-06 09:29:26 | NULL                | NULL                |     24508 |
| weight_ehe0wg01b27pg8grn0ntyc9ck | tt2          | Bulma Briefs (Tiffany Michele)                                                                                 | 2021-07-24 00:21:54 | NULL                | NULL                |     24306 |
| weight_qxy0w2gfbtr6qwhkd96hrdpwp | tt2          | David Cantero. (Informativos TeleCirco, Castillian Spanish.)                                                   | 2022-07-14 16:46:56 | 2023-07-23 03:18:10 | NULL                |     24269 |
| weight_112rktjez50d8v9cyj04k3vj2 | tt2          | Keanu Reeves                                                                                                   | 2023-04-06 18:00:48 | NULL                | NULL                |     24234 |
| weight_ztjggz2brc618ekydx1enehzc | tt2          | Sonic the Hedgehog (Sonic 06 & Sonic X) (Jason Griffith)                                                       | 2022-05-28 19:00:08 | NULL                | NULL                |     24148 |
| weight_sqz2xkntahmkxz00kg7ckdwm4 | tt2          | Super Smash Bros Ultimate Announcer                                                                            | 2021-09-16 22:45:26 | NULL                | 2023-02-27 20:13:13 |     24093 |
| weight_j999qgg4mvnb7x1eq8p22pe2p | tt2          | Samuel L. Jackson                                                                                              | 2021-10-20 17:44:57 | NULL                | NULL                |     24021 |
| weight_7caj88dbqpmxs20pyzsqhzs73 | tt2          | Dalas Review youtuber (Modelo primitivo)                                                                       | 2022-08-29 20:13:08 | NULL                | NULL                |     23991 |
| weight_a4fdaj2set8zrfwzsgxrctn8t | tt2          | Ash Ketchum (Castillian Spanish)                                                                               | 2022-08-04 16:02:25 | NULL                | NULL                |     23987 |
| weight_aswpmhvyt398pgm02r96dk547 | tt2          | Monkey D. Luffy Japanese (モンキー・D・ルフィ)                                                                 | 2023-09-21 18:11:51 | NULL                | NULL                |     23972 |
| weight_h1wzrzbjq0gxwaa3pxzbhwagg | tt2          | (TEST) SpongeBob SquarePants (Seasons 3–9A)                                                                    | 2023-08-03 21:31:08 | 2024-01-07 20:24:18 | NULL                |     23845 |
| weight_vm6carfv0pnm2pc6qmt3v3jgs | tt2          | Amy Rose (Cindy Robinson)                                                                                      | 2021-09-08 01:16:15 | NULL                | 2023-02-10 01:11:06 |     23554 |
| weight_73xy9zzbj0x4qnyhg6yx1pe8q | tt2          | Leon S. Kennedy (Resident Evil 4)                                                                              | 2022-11-07 19:35:55 | NULL                | NULL                |     23478 |
| weight_b1j695jxra2yfhpqmn9dhp540 | tt2          | Narrador da Peppa Pig ( Brazilian Portuguese)                                                                  | 2022-02-21 14:17:00 | NULL                | NULL                |     23454 |
| weight_4fg6nm0ack1j3y352m6nvr11m | tt2          | Alberto Fujimori                                                                                               | 2022-08-19 20:03:49 | NULL                | NULL                |     23402 |
| weight_cybz3j5kwmsmejb0qfx0dwrr9 | tt2          | Darth Vader (New, Version 2.0)                                                                                 | 2023-05-19 11:09:38 | NULL                | NULL                |     23262 |
| weight_8r40xy39fw1h6xcfkhdndszbg | tt2          | Will Smith (Old)                                                                                               | 2022-01-09 00:44:51 | NULL                | NULL                |     22730 |
| weight_2y5zbwskdyxq7q1bengg37g2d | tt2          | Pinkie Pie. (Latin American Spanish, My Little Pony.)                                                          | 2023-03-09 15:31:09 | NULL                | NULL                |     22483 |
| weight_ytjcbhw79d0q3w7w32e55kad6 | tt2          | B1 Battle Droids                                                                                               | 2021-08-03 14:30:22 | NULL                | NULL                |     22383 |
| weight_dtrs7331tsngf87ak5jarrxez | tt2          | The Joker (Heath Ledger, Version 1.0)                                                                          | 2022-06-12 01:38:40 | NULL                | NULL                |     22225 |
| weight_bc5wwmwtkwvk5mbfajn32ecqe | tt2          | Recep İvedik (Şahan Gökbakar)                                                                                  | 2023-02-17 16:05:01 | NULL                | NULL                |     22143 |
| weight_eejesc1m4pyn8vb4bc08dqnkj | tt2          | Pinkie Pie                                                                                                     | 2021-10-28 11:13:36 | NULL                | NULL                |     22117 |
| weight_g00pnwqhtrs631mckj8axm9av | tt2          | Peppa Pig Narrator (John Sparkes)                                                                              | 2021-12-17 20:20:18 | NULL                | NULL                |     22099 |
| weight_aqqwdakhjb730acxg5edf0p9a | tt2          | "Weird Al" Yankovic                                                                                            | 2022-01-29 22:52:28 | NULL                | NULL                |     22039 |
| weight_03ya31ymsm6hp4g8f2fgyhja2 | tt2          | Cantinflas                                                                                                     | 2022-10-25 02:01:08 | NULL                | NULL                |     21975 |
| weight_nqsmjmyrqnhw2mgvr99gqrjpm | tt2          | Mike Tyson                                                                                                     | 2022-11-30 16:06:39 | NULL                | NULL                |     21966 |
| weight_cbg082t3sbp73szmy5kaw6hgn | tt2          | Jotaro Kujo                                                                                                    | 2021-09-11 15:17:43 | NULL                | 2023-02-10 23:27:45 |     21829 |
| weight_eayyttcf6rt2v4ty3vd6z8hd6 | tt2          | Darth Vader (Español, Federico Romano)                                                                         | 2022-10-22 11:59:10 | NULL                | NULL                |     21804 |
| weight_9qkf76cg774z8m00t1g3a7m41 | tt2          | Voz Mujer Robot (DOOM 3)                                                                                       | 2022-11-02 19:50:20 | NULL                | NULL                |     21768 |
| weight_b9zqwd7ez27h31r21hbg0ygav | tt2          | Obi-Wan Kenobi (Old, Clone Wars)                                                                               | 2021-10-12 01:59:37 | NULL                | NULL                |     21698 |
| weight_0ttzp9f0c2rckhq43n4eabnes | tt2          | The Joker (Richard Epcar) (New)                                                                                | 2022-04-22 06:12:55 | NULL                | 2023-02-13 23:36:50 |     21584 |
| weight_ae78yn7st5s7hfk2jbzk9143g | tt2          | Tony Soprano                                                                                                   | 2023-01-12 22:49:14 | NULL                | NULL                |     21510 |
| weight_k2pf8fq8mq1ewjp4js7gwahtr | tt2          | Kevin Hart                                                                                                     | 2022-08-20 12:29:30 | NULL                | NULL                |     21279 |
| weight_6s4qwv8vg1qjtzvtt154110sd | tt2          | Star Wars Clone Wars Narrator (Version 2.0)                                                                    | 2023-01-30 15:30:45 | NULL                | NULL                |     21158 |
| weight_xy9cf1fnxyx2nvjnps9ynxp7x | tt2          | Moist Cr1TiKaL (Charles White Jr.)                                                                             | 2022-08-27 15:44:46 | NULL                | NULL                |     21131 |
| weight_s2qf0vcw9m08777ahha2w0yb6 | tt2          | Tails (Español)                                                                                                | 2022-05-27 07:12:33 | NULL                | 2023-06-16 10:52:26 |     21099 |
| weight_9xcdfk7z1nd72bqrzn0nvv44b | tt2          | Neon (Valorant, Español Latino)                                                                                | 2022-11-12 19:45:11 | NULL                | NULL                |     21021 |
| weight_jsm1zwhtq2w8aq55fjzy3veag | tt2          | Quico (Chavo animado)                                                                                          | 2022-11-20 18:19:49 | NULL                | NULL                |     20967 |
| weight_62nh7prayvcnevbg2hq5qp1r8 | tt2          | Jesse Pinkman (New)                                                                                            | 2023-09-27 20:34:33 | NULL                | NULL                |     20906 |
| weight_2yc3sa36zv7a2ddan8yz4fab6 | tt2          | Ben Shapiro (New)                                                                                              | 2023-03-12 17:21:56 | NULL                | NULL                |     20884 |
| weight_c4q9tmt7px2xha4ksypy8wg9a | tt2          | Santa Claus (castellano)                                                                                       | 2022-11-27 14:02:49 | NULL                | NULL                |     20860 |
| weight_aypa11pzhsma7eqpr5mcpfc1m | tt2          | Darth Maul                                                                                                     | 2022-02-28 17:24:20 | NULL                | NULL                |     20833 |
| weight_kcjye1c8c51s1dxhqrd6hgsvy | tt2          | Coringa (Brazilian Portuguese)                                                                                 | 2022-02-21 10:47:01 | 2023-02-14 15:54:11 | NULL                |     20778 |
| weight_d20d1mzjy4h3gwwtzwpkg5y7k | tt2          | Emma Watson                                                                                                    | 2022-01-05 19:33:05 | NULL                | NULL                |     20744 |
| weight_1b8acc3k238jaqa7gmdqmx5ks | tt2          | All The Small Things But It's SpongeBob Guy                                                                    | 2021-12-07 02:37:40 | NULL                | NULL                |     20572 |
| weight_bew3c7ngafadr5gv8fxbpb11t | tt2          | Joe Rogan (Version 2.0)                                                                                        | 2023-05-16 00:04:18 | NULL                | NULL                |     20563 |
| weight_ctqhb6rm1cn3xb8v560vj5g4w | tt2          | Captain Jack Sparrow (Jared Butler)                                                                            | 2021-09-16 16:52:27 | NULL                | NULL                |     20528 |
| weight_tv9z40ysr6vb170ep4v2smccs | tt2          | Chi Chi                                                                                                        | 2021-12-29 07:26:29 | NULL                | NULL                |     20484 |
| weight_zz41bqmjjhp04cnnrkeba62ny | tt2          | Avatar Aang                                                                                                    | 2021-09-13 12:59:06 | NULL                | NULL                |     20417 |
| weight_61ayjcjq3k659hpaka7azjnw8 | tt2          | Kun Agüero (V.BETA)                                                                                            | 2022-09-03 22:19:33 | NULL                | NULL                |     20412 |
| weight_nx47f5m47k7gy27ygk0ehc9wh | tt2          | Dream (YouTuber)                                                                                               | 2021-10-09 02:07:28 | NULL                | NULL                |     20285 |
| weight_nwerp53yakkgsbqfd8sp1zhh0 | tt2          | Silvio Santos (Show do Milhão)                                                                                 | 2023-04-01 08:21:59 | NULL                | NULL                |     20282 |
| weight_7k39n5jz3k2pcf1wr194xyc5r | tt2          | Ben Shapiro (Old)                                                                                              | 2021-08-30 19:34:35 | NULL                | NULL                |     20263 |
| weight_nwze34ek9ce7fs1a9qpfgcbzp | tt2          | Shin chan, Shinnosuke Nohara. (Crayon Shin-chan, Castillian Spanish.)                                          | 2022-10-19 21:53:10 | NULL                | NULL                |     20235 |
| weight_6yvj3z40bbr4bet1gbatc20vs | tt2          | Markiplier (Mark Edward Fischbach)                                                                             | 2022-02-12 22:29:14 | NULL                | NULL                |     20199 |
| weight_h5hcy4zbs47zfhe36cr5ft49b | tt2          | Bryan Cranston                                                                                                 | 2021-08-22 11:17:42 | NULL                | NULL                |     20109 |
| weight_fhxy4h77441671wqfvzwbw15t | tt2          | Tupac Shakur (2Pac) (Rapper)                                                                                   | 2021-09-07 16:42:05 | 2024-08-02 02:17:10 | NULL                |     20030 |
| weight_ryvamrhj7fbaha4sswr6ngf9h | tt2          | GLaDOS (Ellen McLain)                                                                                          | 2021-09-11 06:06:01 | NULL                | NULL                |     19998 |
| weight_c4kjf0tfmc9zj6tz5tzz4wnes | tt2          | Robert Downey Jr                                                                                               | 2023-03-07 07:31:37 | NULL                | NULL                |     19974 |
| weight_efh72nwjcn458tf11cvkfvsfa | tt2          | Super Smash Bros. Brawl Announcer (Pat Choman)                                                                 | 2023-08-28 07:21:27 | NULL                | NULL                |     19923 |
| weight_152vc3g34dqth2gyqn55f4385 | tt2          | Bob Esponja Latino (Temporada 2)                                                                               | 2022-07-08 21:46:56 | 2022-09-08 22:05:48 | NULL                |     19912 |
| weight_z6kwaar40f0yd9gaddfvaps59 | tt2          | Mordecai (Español Latino)                                                                                      | 2023-09-28 03:28:47 | NULL                | NULL                |     19909 |
| weight_63tpzf7wac4bap4c0wrbzcr0v | tt2          | Batman (Castellano)                                                                                            | 2024-01-10 00:27:24 | NULL                | NULL                |     19869 |
| weight_0aanye2gxrk83gq1r1trh669m | tt2          | Beerus                                                                                                         | 2022-02-03 12:41:57 | NULL                | 2023-02-11 18:31:46 |     19852 |
| weight_6y87xbjmqjxbf49ad880590kw | tt2          | 15.ai SpongeBob (May 2020)                                                                                     | 2023-09-21 10:29:45 | NULL                | NULL                |     19833 |
| weight_c8nd3fvvk92xmafpd5anbyb9a | tt2          | Stewie Griffin (Classic)                                                                                       | 2023-06-08 10:07:42 | NULL                | NULL                |     19809 |
| weight_26gc398dr3qjm6a3bp4y36m9k | tt2          | Dragon ball Z Narrador (español)                                                                               | 2023-03-06 19:54:41 | NULL                | 2023-06-15 17:13:39 |     19686 |
| weight_x0t17w9d0q8s8q8w5hna5n6me | tt2          | El Rubius                                                                                                      | 2023-07-02 02:53:59 | NULL                | NULL                |     19591 |
| weight_t7ws33cc1hcjqrxt421mbhfab | tt2          | Fluttershy. (Latin American Spanish, My Little Pony.)                                                          | 2023-02-08 16:19:35 | 2023-10-23 23:54:39 | NULL                |     19510 |
| weight_f5kt2erssc85sn5j35r81rt8w | tt2          | Pikachu                                                                                                        | 2023-04-02 00:08:21 | NULL                | NULL                |     19463 |
| weight_w482qsxkg323wej9e8y709nkg | tt2          | Manfred Lehmann (Bruce Willis dub etc)                                                                         | 2023-01-08 10:47:24 | NULL                | 2024-08-14 01:09:15 |     19462 |
| weight_28bjtg95hz1ye9zpc3k4q12hb | tt2          | Francesco Totti                                                                                                | 2022-10-18 18:00:26 | 2023-03-17 14:15:16 | NULL                |     19445 |
| weight_r5hbbs90mbefs599313rfqqqk | tt2          | Spider-Man (Disney Infinity/Marvel)                                                                            | 2022-08-20 04:22:18 | NULL                | NULL                |     19434 |
| weight_5ety6sw3hanh15cdrh2kr98hf | tt2          | Sasuke Uchiha (Yuri Lowenthal)                                                                                 | 2022-07-11 01:32:54 | 2023-01-25 16:45:35 | NULL                |     19354 |
| weight_600e2yvf5btgc24k173tr5vr3 | tt2          | Felix "Pewdiepie" Kjellberg                                                                                    | 2021-09-01 19:11:53 | NULL                | NULL                |     19298 |
| weight_0cd4j163v1zrd8asac5r52g2f | tt2          | Ariel (The Little Mermaid, Jodi Benson)                                                                        | 2021-11-20 22:14:18 | NULL                | NULL                |     19084 |
| weight_ymc3szhr46qbfgbyed9fp33cf | tt2          | Peter Griffin (Modern, New)                                                                                    | 2023-09-24 14:18:29 | NULL                | NULL                |     19044 |
| weight_rndaqzxhjqtzjpq84z9tmdxbf | tt2          | Peter Griffin (Castillian Spanish)                                                                             | 2022-02-26 12:56:30 | 2023-01-28 18:21:28 | NULL                |     18966 |
| weight_qwc80c62vd5zr572jsfatmyqd | tt2          | Alex Jones (Version 2.0)                                                                                       | 2023-04-06 10:23:52 | NULL                | NULL                |     18950 |
| weight_d4q435fexa367n9a22t224v1q | tt2          | Snoop Dogg (Calvin Cordozar Broadus Jr.)                                                                       | 2022-04-22 11:15:06 | NULL                | NULL                |     18902 |
| weight_cvzenz3yc6papmgr2f343de8k | tt2          | Loid Forger (Español)                                                                                          | 2023-02-01 04:22:09 | NULL                | NULL                |     18789 |
